datetime, tempC, presPa, humRH
2022/08/26 20:30:01, 11.240000, 101840.269531, 81.953125
2022/08/26 20:35:01, 11.210000, 101841.792969, 82.002930
2022/08/26 20:40:01, 11.190000, 101844.121094, 82.162109
2022/08/26 20:45:01, 11.160000, 101847.621094, 82.289062
2022/08/26 20:50:02, 11.140000, 101850.558594, 82.395508
2022/08/26 20:55:01, 11.120000, 101848.035156, 82.412109
2022/08/26 21:00:01, 11.090000, 101847.554688, 82.747070
2022/08/26 21:05:02, 11.070000, 101846.347656, 83.003906
2022/08/26 21:10:01, 11.050000, 101845.843750, 82.856445
2022/08/26 21:15:01, 11.040000, 101844.996094, 83.193359
2022/08/26 21:20:01, 11.020000, 101844.878906, 83.039062
2022/08/26 21:25:01, 11.000000, 101844.035156, 83.295898
2022/08/26 21:30:01, 10.990000, 101842.945312, 83.873047
2022/08/26 21:35:01, 10.970000, 101839.859375, 84.098633
2022/08/26 21:40:01, 10.960000, 101840.664062, 84.128906
2022/08/26 21:45:02, 10.970000, 101839.007812, 84.217773
2022/08/26 21:50:01, 10.960000, 101840.226562, 84.096680
2022/08/26 21:55:01, 10.950000, 101847.761719, 83.974609
2022/08/26 22:00:02, 10.930000, 101847.550781, 83.981445
2022/08/26 22:05:01, 10.930000, 101845.871094, 83.969727
2022/08/26 22:10:01, 10.920000, 101847.679688, 84.098633
2022/08/26 22:15:01, 10.900000, 101849.562500, 84.007812
2022/08/26 22:20:01, 10.880000, 101849.906250, 84.058594
2022/08/26 22:25:02, 10.870000, 101852.132812, 83.913086
2022/08/26 22:30:01, 10.830000, 101854.500000, 83.984375
2022/08/26 22:35:01, 10.800000, 101861.550781, 83.946289
2022/08/26 22:40:02, 10.750000, 101867.222656, 84.066406
2022/08/26 22:45:01, 10.670000, 101870.070312, 84.006836
2022/08/26 22:50:01, 10.570000, 101872.769531, 83.955078
2022/08/26 22:55:01, 10.440000, 101875.496094, 83.954102
2022/08/26 23:00:01, 10.320000, 101875.605469, 83.939453
2022/08/26 23:05:02, 10.180000, 101876.925781, 83.969727
2022/08/26 23:10:01, 10.040000, 101875.152344, 83.952148
2022/08/26 23:15:01, 9.910000, 101878.625000, 83.915039
2022/08/26 23:20:02, 9.780000, 101881.531250, 84.207031
2022/08/26 23:25:01, 9.680000, 101881.707031, 84.133789
2022/08/26 23:30:01, 9.570000, 101882.171875, 84.318359
2022/08/26 23:35:01, 9.480000, 101884.726562, 84.661133
2022/08/26 23:40:01, 9.410000, 101885.511719, 84.658203
2022/08/26 23:45:02, 9.340000, 101888.082031, 84.806641
2022/08/26 23:50:01, 9.270000, 101890.632812, 85.011719
2022/08/26 23:55:01, 9.200000, 101888.687500, 85.160156
2022/08/27 00:00:02, 9.140000, 101884.796875, 85.484375
2022/08/27 00:05:01, 9.090000, 101883.027344, 85.627930
2022/08/27 00:10:01, 9.040000, 101882.421875, 86.041992
2022/08/27 00:15:01, 9.010000, 101883.085938, 86.306641
2022/08/27 00:20:01, 8.970000, 101880.300781, 86.496094
2022/08/27 00:25:02, 8.950000, 101879.003906, 86.580078
2022/08/27 00:30:01, 8.910000, 101878.160156, 86.787109
2022/08/27 00:35:01, 8.870000, 101885.593750, 86.865234
2022/08/27 00:40:01, 8.810000, 101884.128906, 87.049805
2022/08/27 00:45:01, 8.740000, 101880.761719, 87.208008
2022/08/27 00:50:01, 8.660000, 101877.585938, 87.248047
2022/08/27 00:55:01, 8.590000, 101872.195312, 87.252930
2022/08/27 01:00:01, 8.490000, 101870.824219, 87.180664
2022/08/27 01:05:02, 8.400000, 101870.109375, 87.272461
2022/08/27 01:10:01, 8.310000, 101866.500000, 87.197266
2022/08/27 01:15:01, 8.230000, 101864.960938, 87.052734
2022/08/27 01:20:01, 8.120000, 101864.636719, 87.420898
2022/08/27 01:25:01, 8.040000, 101868.234375, 87.438477
2022/08/27 01:30:01, 7.970000, 101865.531250, 87.434570
2022/08/27 01:35:01, 7.910000, 101866.785156, 87.625000
2022/08/27 01:40:01, 7.830000, 101864.656250, 87.729492
2022/08/27 01:45:02, 7.770000, 101866.171875, 87.685547
2022/08/27 01:50:01, 7.720000, 101869.636719, 87.869141
2022/08/27 01:55:01, 7.660000, 101867.996094, 87.847656
2022/08/27 02:00:02, 7.590000, 101865.894531, 87.724609
2022/08/27 02:05:01, 7.540000, 101863.757812, 87.931641
2022/08/27 02:10:01, 7.480000, 101857.617188, 88.006836
2022/08/27 02:15:02, 7.390000, 101849.742188, 87.792969
2022/08/27 02:20:01, 7.330000, 101841.984375, 87.693359
2022/08/27 02:25:02, 7.270000, 101837.609375, 87.756836
2022/08/27 02:30:01, 7.210000, 101836.160156, 87.680664
2022/08/27 02:35:01, 7.140000, 101827.726562, 87.751953
2022/08/27 02:40:02, 7.080000, 101821.937500, 87.837891
2022/08/27 02:45:01, 7.010000, 101818.417969, 87.932617
2022/08/27 02:50:01, 6.940000, 101815.851562, 88.037109
2022/08/27 02:55:02, 6.880000, 101814.125000, 87.917969
2022/08/27 03:00:01, 6.820000, 101813.808594, 87.904297
2022/08/27 03:05:01, 6.760000, 101808.863281, 88.053711
2022/08/27 03:10:01, 6.690000, 101804.035156, 88.029297
2022/08/27 03:15:01, 6.630000, 101803.324219, 87.962891
2022/08/27 03:20:02, 6.570000, 101799.160156, 87.961914
2022/08/27 03:25:01, 6.510000, 101797.988281, 87.981445
2022/08/27 03:30:01, 6.440000, 101796.203125, 87.785156
